,Recursive ST,General ST,$\frac{\rho(4)}{\lambda_5}$,True Value
5.0,3.665989832000298,1.3326697604459667,1.4361079405519093,0.4406993888813783
5.5,2.430594351189092,1.0909792785541566,1.1692052982695462,0.33477229485166965
6.0,1.516556378239517,0.9933365296434793,1.0875509355765964,0.30922259438487204
6.5,0.8514356158697781,0.860697441806012,0.9349171018204009,0.2623457732013931
7.0,0.6045750641316723,0.7830818401886884,0.8423679372425328,0.24658839653688594
7.5,0.45795608960613654,0.7596519999102591,0.832899145688299,0.2409454099016967
8.0,0.4007771565671197,0.7644207129266387,0.8572081906341105,0.24586315073657833
8.5,0.37210733792761574,0.7592646067535409,0.8333704834595533,0.24969190564026417
9.0,0.35578397234880355,0.7446260602429196,0.817611808210601,0.240945634953131
9.5,0.35449778532000426,0.7631293452444391,0.8252084292797021,0.24544402164460247
10.0,0.34923781965644596,0.7396889306094115,0.8027953978877301,0.2389498454879055
10.5,0.34081546960917775,0.7429759387840396,0.8013299228088707,0.24140254830290786
11.0,0.3280674865253314,0.7092630319152473,0.7668268171004182,0.2262680845551773
11.5,0.3562917195396558,0.7492360160650313,0.8242615331103748,0.2450483825129603
